image,source_mode,num_channels,shape,source_sha256
4.1.01.png,RGB,3,"[256, 256]",8998e4f4e09a60809f42b9af14815db682efaa4af2e63a124a501afd3071589b
4.1.02.png,RGB,3,"[256, 256]",78da3cc152ed354c7a64384c2f9bd62255496541608206644ea0b5f76c30c0db
4.1.03.png,RGB,3,"[256, 256]",fd4a7d757c4a9889a287575c7fea70bbcb402e55a8ced65d27faa68847ea3b9a
4.1.04.png,RGB,3,"[256, 256]",9bc572c6525b082747f7b6cbc916fe9c8f4896e64147f5ef4bd1833697201b7a
4.1.05.png,RGB,3,"[256, 256]",2bb2133d644cee23083cc00519e0241ea0f3fd7d89b080173dd8a094b521d863
4.1.06.png,RGB,3,"[256, 256]",4793ea9224351c63517120c7a2359fdc8c4aaf1f56e653ea927d1edb66097f14
4.1.07.png,RGB,3,"[256, 256]",29bd010c96eea844d185172ea9b1a896b8bc2db94f7a8158d599d326d4289739
4.1.08.png,RGB,3,"[256, 256]",499f983bd5dac7e403521c4e26b1e5223713b0a384b7762f62dbae4501b474a8
4.2.01.png,RGB,3,"[256, 256]",7d2839a0135f61f2da16842e73ab8077a367818404b40d3cc09c0b377ac1f032
4.2.03.png,RGB,3,"[256, 256]",2e75b75a133b6c4cde70345a7804cb83bb1bd6ac1dac4037540f8a85875d62d1
4.2.05.png,RGB,3,"[256, 256]",900ccb414083de788b23c495ea73d88472015cf8149dabefaf93e64c0ebc0108
4.2.06.png,RGB,3,"[256, 256]",88383a54dd086531001f6b6e9e407aed1aa109292d8916aeb8221ab178b67826
4.2.07.png,RGB,3,"[256, 256]",db3fcd69d250554a3cbda9ae627562c6353fb1ccdb5917315b21ce43452814c1
5.1.09.png,L,1,"[256, 256]",310952fd63f2feafde60c89a27dc06a2b6595c208597ee834c9888db704ff5c4
5.1.10.png,L,1,"[256, 256]",1e6552fd72f6253b706d39bae8c23773fd804eb4e0c7e7639c225c0712f68088
5.1.11.png,L,1,"[256, 256]",e6f325e8b6e59f5948f5299c6225b331b217c792e71c23c5c0b499317439e87e
5.1.12.png,L,1,"[256, 256]",db90ffb27a5ba7178024f5fc6e0bb6ddbc82c0e354bb22dfbe4d6bdf0767aa85
5.1.13.png,L,1,"[256, 256]",d40ca11743aec1e1e025b58b190c3cb7d4c765770ca10d370875c3ab2ffefeae
5.1.14.png,L,1,"[256, 256]",cbf9ef290e5f4f5c4d8d7f320fd864a4b1d5c8dc3d76f83384fd2e677b82336c
5.2.08.png,L,1,"[256, 256]",c4be9b9fe0f85989047ff4999b03e5745aac62f0d87048d959c51ca10c7408a7
5.2.09.png,L,1,"[256, 256]",c083135b67943e499db73dc9f236ceb7c535e088f5fef2fd720cc2859e412f19
5.2.10.png,L,1,"[256, 256]",d8df930eeded6acfc72f0efc5ac16db89349078ce9d4bbcd5a6e690996926684
5.3.01.png,L,1,"[256, 256]",b05944fc97971a55569885a72105b49d12e85126a837e6045a2693d026b025f0
5.3.02.png,L,1,"[256, 256]",665a258624f2fe8762c4d446145148431077182a810889f5a1d1855047c53397
7.1.01.png,L,1,"[256, 256]",dfa46fea90337d015e393f1a469e07eb279d17e882d56fe04588dca3a84b2d07
7.1.02.png,L,1,"[256, 256]",129c143811c61190f9561dd16269115cc92d7ebd8fb70dcbd07f4f4c35eb8375
7.1.03.png,L,1,"[256, 256]",58de3c4d2f5a47e0375ddfe38a7b7d5d2566751a1d7a463e21a79d6c57e9458c
7.1.04.png,L,1,"[256, 256]",0da485cb46e986cead5d89e6f8c589e82406aaef9b181a8346781dadb347b632
7.1.05.png,L,1,"[256, 256]",617a85736cf21a75ea7e0e060283fd658363e157166f77feedc2a20088251c41
7.1.06.png,L,1,"[256, 256]",36f03ee65e2ca4f30590afef5b211b3c269f9bd63f9c5440286d58b7b23d82b9
7.1.07.png,L,1,"[256, 256]",e8fcad271f4d544beffc2d02eb0a7d8834c6894f774ac5862dfa3e33c062ab88
7.1.08.png,L,1,"[256, 256]",b038d48f7771fdec8b27e48ffbf3b7c4edb718aa0b4326221146749ea82d5706
7.1.09.png,L,1,"[256, 256]",68496228e3d11734d55a49f7b0b1509b5a429b1c089bbc07b555ffa0a4b86802
7.1.10.png,L,1,"[256, 256]",e23350296da9814408833bde027a2ac59e7404b20cd520b308d2018cbc4685fb
7.2.01.png,L,1,"[256, 256]",2dcfa92aef0b450a90d73bab7baabaef4692077b25fa57fb231b7bcf109b9c03
boat.512.png,L,1,"[256, 256]",25edac568f01ccd3480e11ae10eac22ca0db8b7a0fc216c7de02fc4710545ec6
gray21.512.png,L,1,"[256, 256]",16d73bc22dfc3191117ce5826822523548386000bb165295b3220b3ba05a64a2
house.png,RGB,3,"[256, 256]",196cf3c83f8afbae1c8e9f92597a48dfb367952fc906e76643e6b32167568369
ruler.512.png,L,1,"[256, 256]",311e5fabb2709b3a6727f978c93246ed94c27a35a897f793cb8a0b186b80eaaf
